Name;Function;Path;Number
Style;Style(Color fill, Color stroke) ;./Svg_Manager_Snippet/SCpp00_SVGManagerStyle.sublime-snippet;0 
getSvgVector;vector<string> getSvgVector() ;./Svg_Manager_Snippet/SCpp01_SVGManagerGetSvgVector.sublime-snippet;1 
Polygon;Polygon(vector<Point> points) ;./Svg_Manager_Snippet/SCpp02_SVGManagerPolygon.sublime-snippet;2 
Color;Color(string color)  ;./Svg_Manager_Snippet/SCpp03_SVGManagerColor.sublime-snippet;3 
Polygon;Polygon(vector<Point> points, Style style, string label) ;./Svg_Manager_Snippet/SCpp04_SVGManagerPolygon.sublime-snippet;4 
Rectangle;Rectangle(Point origin, float width, float height) ;./Svg_Manager_Snippet/SCpp05_SVGManagerRectangle.sublime-snippet;5 
set;void set(Point origin, float width, float height, float radius_x,float radius_y, Style style, string label) ;./Svg_Manager_Snippet/SCpp06_SVGManagerSet.sublime-snippet;6 
Circle;Circle(Point origin, float radius) ;./Svg_Manager_Snippet/SCpp07_SVGManagerCircle.sublime-snippet;7 
Text;Text(Point origin, string text, Style style, string label) ;./Svg_Manager_Snippet/SCpp08_SVGManagerText.sublime-snippet;8 
swap;Point swap() ;./Svg_Manager_Snippet/SCpp09_SVGManagerSwap.sublime-snippet;9 
Circle;Circle(Point origin, float radius, Style style, string label) ;./Svg_Manager_Snippet/SCpp10_SVGManagerCircle.sublime-snippet;10 
add;void add(vector<string> content) ;./Svg_Manager_Snippet/SCpp11_SVGManagerAdd.sublime-snippet;11 
Color;Color()  ;./Svg_Manager_Snippet/SCpp12_SVGManagerColor.sublime-snippet;12 
set;void set(Color fill, float fill_opacity, Color stroke, float stroke_width,float stroke_opacity) ;./Svg_Manager_Snippet/SCpp13_SVGManagerSet.sublime-snippet;13 
Point;Point()  ;./Svg_Manager_Snippet/SCpp14_SVGManagerPoint.sublime-snippet;14 
negative;Point negative() ;./Svg_Manager_Snippet/SCpp15_SVGManagerNegative.sublime-snippet;15 
set;void set(Point origin, float radius, Style style, string label) ;./Svg_Manager_Snippet/SCpp16_SVGManagerSet.sublime-snippet;16 
Text;Text() ;./Svg_Manager_Snippet/SCpp17_SVGManagerText.sublime-snippet;17 
view;void view() ;./Svg_Manager_Snippet/SCpp18_SVGManagerView.sublime-snippet;18 
Rectangle;Rectangle() ;./Svg_Manager_Snippet/SCpp19_SVGManagerRectangle.sublime-snippet;19 
setSize;void setSize(float size_px) ;./Svg_Manager_Snippet/SCpp20_SVGManagerSetSize.sublime-snippet;20 
SVG;SVG(string path) ;./Svg_Manager_Snippet/SCpp21_SVGManagerSVG.sublime-snippet;21 
Point;Point(float x, float y)  ;./Svg_Manager_Snippet/SCpp22_SVGManagerPoint.sublime-snippet;22 
SVG;SVG(string path, int window_width, int window_height) ;./Svg_Manager_Snippet/SCpp23_SVGManagerSVG.sublime-snippet;23 
setStroke;void setStroke(Color stroke, float stroke_opacity, float stroke_width) ;./Svg_Manager_Snippet/SCpp24_SVGManagerSetStroke.sublime-snippet;24 
Rectangle;Rectangle(Point origin, float width, float height, string label) ;./Svg_Manager_Snippet/SCpp25_SVGManagerRectangle.sublime-snippet;25 
polar;Point polar(float radius, int angle) ;./Svg_Manager_Snippet/SCpp26_SVGManagerPolar.sublime-snippet;26 
make;void make() ;./Svg_Manager_Snippet/SCpp27_SVGManagerMake.sublime-snippet;27 
Circle;Circle() ;./Svg_Manager_Snippet/SCpp28_SVGManagerCircle.sublime-snippet;28 
convert;Point convert(int window_height) ;./Svg_Manager_Snippet/SCpp29_SVGManagerConvert.sublime-snippet;29 
Text;Text(Point origin, string text) ;./Svg_Manager_Snippet/SCpp30_SVGManagerText.sublime-snippet;30 
Style;Style() ;./Svg_Manager_Snippet/SCpp31_SVGManagerStyle.sublime-snippet;31 
get;string get() ;./Svg_Manager_Snippet/SCpp32_SVGManagerGet.sublime-snippet;32 
setFill;void setFill(Color fill, float fill_opacity) ;./Svg_Manager_Snippet/SCpp33_SVGManagerSetFill.sublime-snippet;33 
set;void set(vector<Point> points, Style style, string label) ;./Svg_Manager_Snippet/SCpp34_SVGManagerSet.sublime-snippet;34 
setFont;void setFont(string font) ;./Svg_Manager_Snippet/SCpp35_SVGManagerSetFont.sublime-snippet;35 
Rectangle;Rectangle(Point origin, float width, float height, float radius_x,float radius_y, Style style, string label) ;./Svg_Manager_Snippet/SCpp36_SVGManagerRectangle.sublime-snippet;36 
set;void set(Point origin, string text, Style style, string label) ;./Svg_Manager_Snippet/SCpp37_SVGManagerSet.sublime-snippet;37 
Polygon;Polygon() ;./Svg_Manager_Snippet/SCpp38_SVGManagerPolygon.sublime-snippet;38 
save;void save() ;./Svg_Manager_Snippet/SCpp39_SVGManagerSave.sublime-snippet;39 
clear;void clear() ;./Svg_Manager_Snippet/SCpp40_SVGManagerClear.sublime-snippet;40 
setPath;void setPath(string path) ;./Svg_Manager_Snippet/SCpp41_SVGManagerSetPath.sublime-snippet;41 
background;void background(bool enable) ;./Svg_Manager_Snippet/SCpp42_SVGManagerBackground.sublime-snippet;42 